Input lines: 463004, deduped: 278569
46.593333,10.3425
46.596667,10.3519
46.600000,10.3521
46.603333,10.3503
46.606667,10.3454
46.610000,10.3472
46.613333,10.3504
46.616667,10.3510
46.620000,10.3491
46.623333,10.3529
46.626667,10.3541
46.630000,10.3549
46.633333,10.3520
46.636667,10.3536
46.640000,10.3525
46.643333,10.3609
46.646667,10.3627
46.650000,10.3615
46.653333,10.3617
46.656667,10.3619
46.660000,10.3627
46.663333,10.3609
46.666667,10.3640
46.670000,10.3600
46.673333,10.3621
46.676667,10.3609
46.680000,10.3613
46.683333,10.3574
46.686667,10.3593
46.690000,10.3598
46.693333,10.3580
46.696667,10.3619
46.700000,10.3588
46.703333,10.3555
46.706667,10.3633
46.710000,10.3584
46.713333,10.3586
46.716667,10.3582
46.720000,10.3601
46.723333,10.3600
46.726667,10.3612
46.730000,10.3609
46.733333,10.3601
46.736667,10.3616
46.740000,10.3569
46.743333,10.3623
46.746667,10.3575
46.750000,10.3629
46.753333,10.3605
46.756667,10.3569
46.760000,10.3616
46.763333,10.3604
46.766667,10.3620
46.770000,10.3555
46.773333,10.3613
46.776667,10.3607
46.780000,10.3569
46.783333,10.3613
46.786667,10.3569
46.790000,10.3635
46.793333,10.3613
46.796667,10.3579
46.800000,10.3619
46.803333,10.3630
46.806667,10.3597
46.810000,10.3600
46.813333,10.3608
46.816667,10.3532
46.820000,10.3625
46.823333,10.3602
46.826667,10.3616
46.830000,10.3634
46.833333,10.3622
46.836667,10.3597
46.840000,10.3610
46.843333,10.3618
46.846667,10.3573
46.850000,10.3582
46.853333,10.3584
46.856667,10.3610
46.860000,10.3588
46.863333,10.3597
46.866667,10.3595
46.870000,10.3578
46.873333,10.3646
46.876667,10.3597
46.880000,10.3538
46.883333,10.3620
46.886667,10.3594
46.890000,10.3620
46.893333,10.3552
46.896667,10.3569
46.900000,10.3600
46.903333,10.3601
46.906667,10.3602
46.910000,10.3583
46.913333,10.3602
46.916667,10.3626
46.920000,10.3611
46.923333,10.3543
46.926667,10.3601
46.930000,10.3601
46.933333,10.3579
46.936667,10.3609
46.940000,10.3577
46.943333,10.3548
46.946667,10.3601
46.950000,10.3598
46.953333,10.3619
46.956667,10.3550
46.960000,10.3604
46.963333,10.3629
46.966667,10.3594
46.970000,10.3592
46.973333,10.3563
46.976667,10.3582
46.980000,10.3614
46.983333,10.3564
46.986667,10.3567
46.990000,10.3570
46.993333,10.3592
46.996667,10.3581
47.000000,10.3586
47.003333,10.3547
47.006667,10.3575
47.010000,10.3567
47.013333,10.3584
47.016667,10.3611
47.020000,10.3549
47.023333,10.3573
47.026667,10.3602
47.030000,10.3571
47.033333,10.3586
47.036667,10.3595
47.040000,10.3623
47.043333,10.3624
47.046667,10.3604
47.050000,10.3590
47.053333,10.3568
47.056667,10.3578
47.060000,10.3530
47.063333,10.3609
